"Ticker","Nome","Negócios","Última (R$)","Variação"
"PTNT3","Pettenati","1.800","10,80","+0,47%"
"CGAS5","Comgás","1.700","112,98","-1,33%"
"CEEB3","COELBA","1.700","39,42","+2,63%"
"MTSA4","METISA","1.500","49,29","+3,31%"
"NEXP3","Brasil Brokers","1.500","4,29","+1,66%"
"VSTE3","LE LIS BLANC","1.400","16,00","-2,32%"
"APER3","Alper","1.300","42,00","-1,25%"
"CGRA3","Grazziotin","1.300","27,35","+1,33%"
"BDLL4","Bardella","1.300","9,63","+5,82%"
"BGIP4","Banese","1.200","23,19","+0,39%"
"CRPG5","Tronox Pigmentos","1.100","31,70","-0,60%"
"RPMG3","Refinaria de Manguinhos","1.100","2,05","+0,00%"
"CGAS3","Comgás","900","119,48","-0,23%"
"EUCA3","Eucatex","900","17,07","+0,41%"
"EKTR4","Elektro","800","47,89","+3,64%"
"WLMM4","WLM","800","25,37","+1,48%"
"MERC4","Mercantil do Brasil Financeira","700","7,60","+0,13%"
"RSUL4","Metalúrgica Riosulense","600","80,37","+1,73%"
"BAUH4","Excelsior","500","78,76","+0,01%"
"PINE3","PINE","500","7,25","+0,97%"
"MAPT3","Cemepe","500","6,49","+18,21%"
"MNDL3","Mundial","400","44,17","-5,62%"
"CRPG6","Tronox Pigmentos","400","30,05","-0,83%"
"ALPA3","Alpargatas","400","9,90","-0,80%"
"AFLT3","Afluente T","400","7,94","+7,59%"
"CLSC3","Celesc","300","66,49","+0,74%"
"HBTS5","Habitasul","300","40,01","-2,41%"
"MNPR3","Minupar","300","18,59","+0,22%"
"TELB4","Telebras","300","10,20","-0,78%"
"CEED4","CEEE D","200","25,00","+0,00%"
"BRSR5","Banrisul","200","16,00","-5,83%"
"BALM4","Baumer","200","10,49","+0,00%"
"BSLI3","Banco de Brasília","200","9,51","-0,21%"
"CTNM3","Coteminas","200","8,81","-0,23%"
"RPAD5","Alfa Holdings","200","8,35","+0,00%"
"HETA4","Hercules","200","6,05","-0,17%"
"MWET4","Wetzel","200","5,74","-0,35%"
"DOHL4","Döhler","200","4,50","-0,44%"
"HAGA3","Haga","200","2,63","+0,00%"
"PEAB3","Participações Aliança da Bahia","100","39,00","+0,00%"
"CALI3","Adolpho Lindenberg","100","29,00","+11,54%"
